P_Tx_dBm;L_cable;shadow_std;lat;lon;ci;distance;rsrpPhone;rsrpLos;rsrpNlos;rsrpLosLib;rsrpNlosLib;diff_nlos;diff_nlos_lib
40;3;8;55.012727;82.9540948;138256652;233.334325779221;-74;-48.5921792166171;-65.3596868857416;-48.5921201912271;-82.5853323414654;-8.64031311425845;8.58533234146542
40;3;8;55.0127191;82.9541098;138256652;234.519607571312;-74;-48.6401071042395;-76.0895902430554;-48.6400473243738;-74.0197345383569;2.08959024305537;0.0197345383569001
40;3;8;55.0127121;82.9541282;138256652;235.879535517457;-74;-48.6948053546769;-77.4717604902196;-48.694744888507;-82.8819599635045;3.47176049021961;8.88195996350446
40;3;8;55.0127079;82.9541453;138256652;237.061855414734;-74;-48.7421093117261;-60.3781627155762;-48.7420484110084;-87.3578743134027;-13.6218372844238;13.3578743134027
40;3;8;55.012703;82.9541601;138256652;238.130200953775;-74;-48.7846546852128;-77.0328712732606;-48.7845932974897;-70.1566920022107;3.03287127326055;-3.84330799778932
40;3;8;55.0126964;82.9541793;138256652;239.525144492651;-74;-48.839925456375;-76.6914576402814;-48.8398634161363;-76.4028169539933;2.69145764028141;2.40281695399328
40;3;8;55.0126924;82.9542021;138256652;241.044662049899;-74;-48.8997739664933;-87.9724504085565;-48.8997114874489;-87.5269405246291;13.9724504085565;13.5269405246291
40;3;8;55.0126895;82.9542229;138256652;242.404153233112;-74;-48.9530066761349;-67.4890707447317;-48.9529438623715;-80.098285128748;-6.51092925526832;6.09828512874805
40;3;8;55.0126866;82.9542432;138256652;243.733505866089;-74;-49.0047767056891;-72.5073622135292;-49.0047135592387;-77.4671375730398;-1.49263778647079;3.46713757303984
40;3;8;55.0126833;82.9542642;138256652;245.11942776099;-74;-49.0584554863029;-70.070938415557;-49.0583919694755;-68.0605765017577;-3.92906158444298;-5.93942349824235
40;3;8;55.0126819;82.954284;138256652;246.365374300467;-74;-49.1064590735602;-80.8419335882199;-49.1063953577951;-75.4564116683496;6.84193358821992;1.45641166834959
40;3;8;55.0126779;82.9543027;138256652;247.637264771326;-74;-49.1552169595777;-78.0519677093068;-49.1551528209153;-72.8218402514613;4.05196770930684;-1.17815974853873
40;3;8;55.0126669;82.9543391;138256652;250.227503702565;-74;-49.2537577176395;-78.4044017336574;-49.253692474337;-82.4333792024277;4.40440173365737;8.43337920242773
40;3;8;55.0126427;82.9543807;138256652;253.608801032753;-74;-49.3808953940421;-60.281022599774;-49.3808278817899;-95.2946568293283;-13.718977400226;21.2946568293283
40;3;8;55.0126321;82.9543975;138256652;255.007821100542;-74;-49.4330123054784;-82.7835568686081;-49.4329438116609;-76.4202936178461;8.78355686860813;2.4202936178461
40;3;8;55.0126236;82.9544189;138256652;256.608137176512;-74;-49.4922843979198;-81.9221986840111;-49.4922150858617;-62.4904120245481;7.92219868401111;-11.5095879754519
40;3;8;55.0126137;82.9544428;138256652;258.411390098817;-74;-49.5586388012812;-78.4097012203557;-49.5585685424791;-79.6998585052984;4.40970122035574;5.69985850529835
40;3;8;55.0126048;82.9544688;138256652;260.304589093594;-74;-49.6278146554527;-69.4010920295919;-49.6277435273347;-77.1134201842717;-4.59890797040813;3.11342018427167
40;3;8;55.012597;82.9544946;138256652;262.145206761107;-74;-49.6945963077536;-76.517954814262;-49.6945244052318;-86.225473558414;2.51795481426203;12.225473558414
40;3;8;55.0125893;82.95452;138256652;263.958332428992;-74;-49.7599308734269;-74.9875586499423;-49.7598582073026;-74.0153478660611;0.987558649942301;0.0153478660611484
40;3;8;55.0125843;82.9545457;138256652;265.688450318229;-74;-49.821863767242;-74.2339960813785;-49.8217905641246;-80.9073367421764;0.233996081378521;6.9073367421764
